steps,reward
221787,9.973109192669465,2
221811,9.828893300280841,11
222884,-4.325896243004759,100
222915,10.0,1
222983,-3.099767721780431,100
222650,9.439347287737336,13
224147,-2.975875056099515,100
224241,6.740983653638008,43
224275,10.0,1
224319,-42.6267774277941,100
224785,9.854302070652256,8
224196,9.567504492993855,16
224981,-10.16978930890677,100
225318,10.0,1
224779,9.940992055453805,4
225771,8.766544039931333,24
225144,9.890171304339201,6
226322,9.886738386034978,7
226352,9.781933755536976,8
226003,9.819125237467738,10
227139,9.882913363977844,6
227368,10.0,1
227684,9.91373832220073,5
227965,9.973487814975844,2
228139,9.982571177492256,2
227390,-41.57248219915148,100
228700,9.972682320104893,2
228843,9.916213343410263,5
228166,10.0,1
228543,-3.6106791209650955,100
229369,-4.626608375126427,100
228921,10.0,1
229765,-2.874876385049495,100
229888,-39.865758104718715,100
230429,9.79161655375838,11
229692,9.911236654273772,6
230733,-4.043029132629936,100
231252,-2.7874956135049533,100
231464,9.92585612181003,5
232090,8.741913140495823,36
232121,10.0,1
232284,-3.249110808689777,100
232555,-3.2203133839963334,100
232625,-6.677198123150087,100
232067,10.0,1
232240,-3.1348939802803533,100
233140,9.959171336591766,3
232493,9.144042420503675,23
232625,9.631307081453631,16
233984,10.0,1
234300,10.0,1
234616,10.0,1
234737,-2.9033347222950847,100
234843,9.704150451764994,14
235142,9.97779270241785,2
235226,9.896867243547971,6
234957,-41.679198477392106,100
235909,9.6173983361852,21
235318,9.9745725256448,2
236197,-2.791424136451256,100
235505,9.9447290253358,4
236530,9.965458530156564,3
236692,9.42262026716577,20
236320,10.0,1
237353,-10.093900208267604,70
237363,9.96931351464883,3
238099,-41.39218112198964,100
238389,9.94053555278944,4
238403,9.82675839478574,9
238660,-1.9684519944987908,100
238881,9.838367659889895,8
238061,9.989309565111732,1
238410,9.871020069458499,7
239774,9.996369360862767,1
239853,10.0,1
239963,-2.1512850010631905,100
240013,10.0,1
239171,-26.09528136432075,100
239212,-2.6365246477631117,100
240297,-15.251518226176085,100
241315,-3.231931045232456,100
241526,9.960185409102532,3
241652,10.0,1
241109,-2.661925998362013,100
242185,-3.183050216088924,100
242227,9.896230422434847,6
242255,9.863366682204425,7
242653,9.9655797152924,2
242739,9.851135866474849,8
241953,9.907606469614532,6
241984,-3.3287895501996854,100
242421,9.812642854013731,9
243394,5.369080163091327,45
244390,9.7886917857841,11
243651,9.932164771630717,5
244744,10.0,1
244847,10.0,1
245085,9.803621362152805,9
245256,9.892548389344745,6
245599,9.981825974789395,2
244838,9.924725777028126,5
245707,9.763363753228253,12
246028,9.858318174211293,8
245538,9.797826760099785,9
246636,9.98105219194355,2
246839,9.98031531718893,2
247080,-3.534035060154133,100
246264,-3.8043987760073743,100
247354,-41.21590570420287,100
246574,-4.370600730943302,100
247688,9.934045949382035,4
248210,10.0,1
248405,8.7907895261798,34
248455,-2.6129545833358527,100
248545,10.0,1
247897,9.822222167580396,9
249043,9.910535705573471,5
248386,9.840024397181647,9
249665,-2.6092813735476517,100
249754,9.992761839437874,1
249788,8.916458310922378,29
250126,10.0,1
250139,-2.177615058697475,100
249622,9.77066073879371,10
250232,-2.4477552149420707,100
251210,10.0,1
251595,10.0,1
250870,10.0,1
251753,9.740621286566771,13
251816,9.847575933897442,8
252193,9.87506006524282,7
252473,8.03210733736562,29
252554,9.82159479638279,10
252070,-2.8573193201163076,100
253057,-4.296393915626366,100
253302,-2.977397347500834,100
253432,9.916108996724269,5
253367,9.78136655338457,11
253445,9.95697349335146,3
254342,9.822247185192667,9
254423,9.804030683864017,9
254691,9.918688032077265,5
254121,9.922857633219401,5
255149,10.0,1
255314,10.0,1
255326,9.79346214893035,10
255485,10.0,1
255661,8.886537893184146,21
255035,9.632354617876803,15
256254,9.859569139828135,7
255833,-5.692634546660683,100
256961,9.890276191222325,6
256988,-3.0613810418705807,100
257132,9.910111294585054,5
257147,9.818652007852648,9
256690,9.7364613798218,12
257752,9.935271697402634,4
257884,9.993262646982593,1
258293,9.910209889033215,5
258331,9.263345433189334,28
257603,9.783299920380495,12
258756,-3.284523123300163,100
259009,-2.856424539920409,100
258166,10.0,1
258836,-2.9205181446660324,100
259765,9.976593022345055,2
259766,9.867114060321914,7
260195,9.89605560162526,6
259402,-2.851822848695666,100
260441,-2.352958389263614,100
260536,9.753617584751618,11
261123,9.815483289963401,9
261267,10.0,1
261346,10.0,1
261632,10.0,1
261653,-3.7125822916768363,100
260880,-2.670962991296273,100
262119,9.876586558045059,7
261483,9.684569127827002,11
262622,10.0,1
262059,9.711619744279268,13
263231,-2.4593947572113115,100
263523,9.976189043783949,2
263602,10.0,1
262839,-3.190765999316928,100
263918,10.0,1
264006,9.96022760816225,3
264378,-38.84273395229986,100
264474,10.0,1
265039,9.970969523295107,2
265128,9.942894589084906,4
264458,9.479388548337026,15
264546,9.94865261916336,3
264556,9.9585980850946,3
265567,9.832541512756755,8
265812,-2.9051719594047793,100
266187,9.855089349570868,7
266316,-37.58156135908843,100
266675,-2.797022321485271,100
265762,9.882933916583761,7
267026,9.755495657037892,11
267517,9.9889139025448,1
267702,9.898308944684814,6
268019,-41.78919819467529,100
267188,10.0,1
268139,9.947134218854915,4
267358,9.881183043187281,7
268299,-2.742857827449089,100
268472,9.7631225232499,11
